AGI	Hydrophilicity	Glycine
At2g32530	0.01	0.06
At2g32540	0.00	0.07
At2g32610	0.08	0.06
At2g32620	0.06	0.07
At2g33100	-0.22	0.08
At3g03050	-0.21	0.07
At3g56000	0.22	0.06
At4g15290	0.08	0.06
At4g15320	0.00	0.05
At4g16590	0.09	0.06
At4g23990	0.02	0.07
At4g24000	0.04	0.06
At4g24010	-0.01	0.06
At4g31590	0.10	0.05
At4g32410	-0.24	0.08
At4g38190	-0.23	0.08
At4g39350	-0.21	0.08
At5g05170	-0.18	0.07
At5g09870	-0.22	0.07
At5g16190	0.16	0.05
At5g16910	-0.22	0.08
At5g49720	-0.42	0.09
At5g64740	-0.21	0.08
At1g48850	-0.33	0.09
At1g48860	-0.02	0.08
At2g21940	-0.40	0.07
At2g45300	-0.03	0.08
At3g26900	-0.10	0.05
At4g33510	-0.35	0.08
At4g39540	-0.43	0.07
At4g39980	-0.31	0.07
At5g66120	-0.02	0.09
At1g78240	-0.36	0.07
At2g28450	-0.45	0.06
At3g13440	-0.05	0.06
At3g18000	-0.44	0.08
At4g10760	-0.46	0.07
At4g31790	-0.15	0.09
At5g24840	-0.33	0.06
At1g30620	-0.28	0.08
At1g64440	-0.22	0.10
At1g67070	-0.25	0.07
At1g74910	0.04	0.07
At2g04650	-0.06	0.07
At2g34850	-0.46	0.08
At2g45790	-0.38	0.08
At3g02570	-0.29	0.06
At3g03250	-0.15	0.06
At3g10700	-0.16	0.09
At3g29360	-0.12	0.06
At4g10960	-0.20	0.09
At4g16130	-0.12	0.08
At4g20460	-0.16	0.08
At4g23920	-0.28	0.09
At4g30570	0.02	0.08
At5g18200	-0.36	0.06
At5g44480	-0.25	0.08
At2g45970	-0.10	0.06
At1g23730	-0.26	0.05
At1g58180	-0.38	0.06
At1g70410	-0.20	0.06
At2g28210	-0.61	0.07
At3g01500	-0.03	0.09
At4g20990	-0.49	0.07
At4g33580	-0.39	0.06
At5g04180	-0.47	0.06
At5g14740	-0.16	0.06
At5g56330	-0.76	0.05
At1g55920	-0.11	0.09
At2g17640	-0.04	0.11
At2g43750	0.02	0.09
At3g03630	-0.02	0.08
At3g04940	0.03	0.10
At3g13110	-0.22	0.07
At3g22460	0.05	0.12
At3g59760	-0.08	0.09
At3g61440	-0.11	0.08
At4g14880	0.09	0.11
At5g28020	0.10	0.11
At5g28030	0.06	0.11
At5g56760	0.04	0.09
At1g25410	-0.23	0.07
At1g68460	-0.44	0.05
At3g19160	-0.30	0.06
At3g23630	-0.32	0.05
At3g63110	-0.26	0.05
At4g24650	-0.43	0.05
At5g19040	-0.22	0.04
At3g01850	0.06	0.08
At4g30310	-0.02	0.09
At5g48230	0.18	0.13
At2g26230	-0.29	0.06
At1g17410	-0.13	0.06
At2g19570	-0.10	0.07
At3g07800	-0.06	0.08
At3g46940	-0.16	0.10
At4g09320	-0.03	0.09
At4g11010	-0.10	0.09
At4g29570	-0.05	0.07
At4g29580	-0.10	0.06
At4g29600	-0.14	0.06
At5g23070	-0.27	0.06
At5g28050	-0.11	0.08
At5g59440	-0.40	0.06
At2g21790	-0.32	0.06
At3g27060	-0.08	0.05
At1g31070	-0.42	0.08
At2g35020	-0.19	0.07
At1g19920	-0.41	0.07
At1g62180	-0.40	0.07
At3g22890	-0.35	0.08
At4g04610	-0.34	0.07
At4g14680	-0.34	0.07
At4g21990	-0.33	0.07
At5g43780	-0.34	0.08
At2g27860	-0.25	0.07
At3g53520	-0.26	0.09
At4g00560	-0.05	0.06
At5g28840	-0.48	0.09
At5g59290	-0.40	0.07
At1g01120	-0.10	0.06
At1g68530	-0.04	0.05
At1g01480	-0.20	0.07
At1g02500	-0.30	0.09
At1g62380	-0.51	0.06
At1g62960	-0.25	0.08
At2g22810	-0.33	0.05
At3g49700	-0.28	0.06
At3g61510	-0.21	0.06
At4g11280	-0.28	0.07
At4g23340	-0.36	0.06
At4g26200	-0.33	0.06
At4g37770	-0.37	0.06
At5g28360	-0.39	0.08
At5g65800	-0.31	0.06
At1g36050	-0.21	0.08
At1g36160	-0.23	0.07
At1g36180	-0.25	0.06
At5g16390	-0.32	0.03
At5g35360	-0.14	0.09
At5g46290	-0.16	0.10
At2g22230	-0.02	0.07
At3g55310	0.20	0.07
At5g10160	0.12	0.06
At5g46290	-0.16	0.10
At2g22230	-0.02	0.07
At3g55310	0.20	0.07
At5g10160	0.12	0.06
At5g46290	-0.16	0.10
At1g04710	-0.04	0.10
At1g49430	-0.20	0.07
At2g33150	-0.03	0.09
At3g05970	-0.07	0.08
At3g60510	-0.17	0.08
At4g16210	-0.06	0.08
At4g16800	0.07	0.09
At4g31810	-0.19	0.07
At5g27600	-0.14	0.08
At5g43280	0.06	0.07
At5g48880	0.08	0.10
At1g01390	0.02	0.06
At1g01420	-0.05	0.07
At1g02050	-0.23	0.09
At1g49390	-0.35	0.06
At1g51680	0.02	0.06
At1g53520	0.00	0.07
At1g65060	-0.03	0.07
At1g78550	-0.32	0.04
At2g18570	0.01	0.07
At2g22930	-0.02	0.07
At2g29710	0.13	0.06
At2g29730	0.07	0.05
At2g29740	0.04	0.05
At2g29750	0.04	0.06
At2g44800	-0.16	0.04
At3g19000	-0.60	0.05
At3g19010	-0.61	0.04
At3g21230	-0.03	0.06
At3g21240	-0.01	0.06
At3g29630	-0.07	0.07
At3g48990	-0.11	0.07
At3g50210	-0.29	0.10
At3g51240	-0.48	0.07
At3g55120	0.04	0.07
At4g00040	-0.19	0.09
At4g01070	-0.12	0.07
At4g05160	0.00	0.08
At4g10490	-0.37	0.03
At4g16330	-0.39	0.06
At4g19010	0.11	0.07
At5g05270	-0.27	0.08
At5g07990	-0.12	0.08
At5g08640	-0.51	0.06
At5g13930	-0.12	0.09
At5g24530	-0.46	0.04
At5g38120	-0.02	0.07
At5g54010	-0.07	0.08
At5g54060	-0.11	0.07
At5g63380	-0.03	0.07
At5g63580	-0.35	0.07
At5g63590	-0.43	0.06
At5g66220	-0.15	0.06
At2g21550	-0.22	0.05
At2g28880	-0.34	0.07
At3g10160	-0.03	0.07
At3g11750	-0.08	0.05
At3g55630	-0.21	0.07
At4g24380	-0.25	0.09
At4g30000	-0.09	0.07
At4g34570	-0.20	0.06
At5g05980	-0.18	0.07
At5g41480	-0.05	0.08
At5g62980	0.16	0.07
At1g22020	-0.37	0.08
At2g21550	-0.22	0.05
At2g38660	0.13	0.07
At3g10160	-0.03	0.07
At4g13890	-0.29	0.08
At4g24380	-0.25	0.09
At4g32520	-0.19	0.08
At4g34570	-0.20	0.06
At4g37930	-0.33	0.07
At5g26780	-0.28	0.07
At5g41480	-0.05	0.08
At1g30620	-0.28	0.08
At1g64440	-0.22	0.10
At2g34850	-0.46	0.08
At3g03250	-0.15	0.06
At3g10700	-0.16	0.09
At4g10960	-0.20	0.09
At4g16130	-0.12	0.08
At4g20460	-0.16	0.08
At4g23920	-0.28	0.09
At5g18200	-0.36	0.06
At5g44480	-0.25	0.08
At1g23190	-0.25	0.09
At1g45130	-0.26	0.10
At1g70730	-0.21	0.09
At1g70820	-0.21	0.09
At1g72990	-0.25	0.08
At1g77410	-0.37	0.08
At2g16730	-0.54	0.08
At2g32810	-0.33	0.09
At3g10700	-0.16	0.09
At3g26380	-0.43	0.08
At3g52840	-0.26	0.09
At3g53080	-0.27	0.10
At3g56310	-0.15	0.08
At4g16130	-0.12	0.08
At4g26140	-0.33	0.09
At4g35010	-0.50	0.08
At4g36360	-0.28	0.10
At5g08370	-0.34	0.08
At5g08380	-0.26	0.08
At5g17530	-0.17	0.08
At5g18200	-0.36	0.06
At5g20710	-0.48	0.09
At5g51820	-0.17	0.09
At5g56870	-0.24	0.09
At5g63800	-0.25	0.10
At5g63810	-0.37	0.09
At1g15550	-0.20	0.06
At1g79460	-0.35	0.05
At4g02780	-0.39	0.05
At4g25420	-0.37	0.04
At5g25900	-0.26	0.05
At1g09780	-0.27	0.10
At1g13440	-0.14	0.08
At1g16300	-0.13	0.08
At1g22170	-0.38	0.05
At1g42970	0.00	0.08
At1g43670	-0.15	0.09
At1g56190	0.17	0.10
At1g58150	-0.69	0.13
At1g74030	-0.18	0.09
At1g78040	-0.27	0.05
At1g78050	-0.44	0.05
At1g79530	-0.14	0.08
At1g79550	0.13	0.10
At2g01140	-0.26	0.08
At2g21330	-0.13	0.08
At2g36460	-0.15	0.09
At3g04120	-0.14	0.08
At3g08590	-0.26	0.10
At3g12780	0.15	0.10
At3g26650	-0.02	0.09
At3g43290	-0.69	0.09
At3g52930	-0.22	0.09
At3g54050	-0.22	0.09
At4g00570	-0.09	0.09
At4g10750	-0.20	0.09
At4g24620	-0.17	0.08
At4g26520	-0.08	0.08
At4g26530	-0.11	0.09
At4g38970	-0.18	0.08
At5g03690	-0.19	0.09
At5g04120	-0.34	0.08
At5g42740	-0.11	0.07
At5g64380	-0.24	0.09
At1g23190	-0.25	0.09
At1g70730	-0.21	0.09
At1g70820	-0.21	0.09
At3g03250	-0.15	0.06
At5g17530	-0.17	0.08
At5g51820	-0.17	0.09
At5g57655	-0.40	0.09
At1g16400	-0.30	0.07
At1g16410	-0.29	0.06
At4g03050	-0.33	0.08
At4g03060	-0.39	0.07
At4g13770	-0.27	0.06
At2g22330	-0.16	0.05
At4g31500	-0.15	0.06
At4g39950	-0.19	0.05
At1g65960	-0.21	0.06
At2g02000	-0.26	0.06
At2g02010	-0.27	0.06
At3g17720	-0.03	0.07
At5g17330	-0.27	0.05
At1g64800	-1.06	0.03
At2g20420	-0.06	0.09
At4g26910	-0.27	0.06
At5g23250	0.08	0.13
At5g65750	-0.48	0.07
At1g62800	-0.09	0.07
At1g77670	-0.09	0.06
At1g80360	-0.09	0.09
At2g13810	-0.24	0.08
At2g20420	-0.06	0.09
At2g22250	0.06	0.07
At2g30970	-0.32	0.08
At2g47510	-0.17	0.08
At4g31990	-0.17	0.08
At5g11520	-0.11	0.09
At5g19550	-0.12	0.08
At5g23250	0.08	0.13
At5g50950	-0.27	0.07
At1g80600	0.11	0.09
At2g19940	-0.14	0.07
At3g57560	0.09	0.09
At4g37670	-0.09	0.10
At1g48470	-0.48	0.10
At1g66200	-0.42	0.11
At3g17820	-0.46	0.12
At3g53170	-0.13	0.06
At3g53180	-0.13	0.07
At5g16570	-0.43	0.11
At5g37600	-0.42	0.11
At4g23100	-0.29	0.09
At5g27380	-0.28	0.07
At1g09780	-0.27	0.10
At1g13440	-0.14	0.08
At1g16300	-0.13	0.08
At1g22170	-0.38	0.05
At1g42970	0.00	0.08
At1g56190	0.17	0.10
At1g58150	-0.69	0.13
At1g74030	-0.18	0.09
At1g78040	-0.27	0.05
At1g78050	-0.44	0.05
At1g79530	-0.14	0.08
At1g79550	0.13	0.10
At3g04120	-0.14	0.08
At3g08590	-0.26	0.10
At3g12780	0.15	0.10
At3g26650	-0.02	0.09
At3g43290	-0.69	0.09
At5g04120	-0.34	0.08
At1g74210	-0.37	0.05
At1g80460	-0.04	0.10
At2g40690	0.13	0.06
At2g41540	-0.11	0.07
At3g10370	-0.14	0.08
At3g56840	-0.19	0.08
At5g08030	-0.44	0.05
At1g18640	-0.03	0.08
At1g22020	-0.37	0.08
At4g13890	-0.29	0.08
At4g32520	-0.19	0.08
At4g37930	-0.33	0.07
At5g26780	-0.28	0.07
At1g11860	-0.25	0.11
At1g60990	-0.13	0.09
At1g03310	-0.28	0.06
At1g23190	-0.25	0.09
At1g69830	-0.55	0.08
At1g70730	-0.21	0.09
At1g70820	-0.21	0.09
At1g76130	-0.51	0.09
At2g39930	-0.39	0.07
At2g40840	-0.43	0.06
At4g25000	-0.32	0.09
At5g17530	-0.17	0.08
At5g51820	-0.17	0.09
At5g64860	-0.32	0.07
At1g07110	-0.38	0.07
At1g09780	-0.27	0.10
At1g13440	-0.14	0.08
At1g16300	-0.13	0.08
At1g22170	-0.38	0.05
At1g42970	0.00	0.08
At1g56190	0.17	0.10
At1g58150	-0.69	0.13
At1g74030	-0.18	0.09
At1g78040	-0.27	0.05
At1g78050	-0.44	0.05
At1g79530	-0.14	0.08
At1g79550	0.13	0.10
At2g01140	-0.26	0.08
At2g21170	-0.09	0.10
At2g21330	-0.13	0.08
At2g36460	-0.15	0.09
At2g36580	0.02	0.06
At3g04050	-0.05	0.06
At3g04120	-0.14	0.08
At3g08590	-0.26	0.10
At3g12780	0.15	0.10
At3g22960	-0.11	0.07
At3g25960	0.04	0.07
At3g26650	-0.02	0.09
At3g43290	-0.69	0.09
At3g49160	-0.17	0.07
At3g52930	-0.22	0.09
At3g55440	0.08	0.09
At3g55650	0.03	0.07
At3g55810	0.06	0.07
At4g10750	-0.20	0.09
At4g24620	-0.17	0.08
At4g26390	-0.02	0.07
At4g26520	-0.08	0.08
At4g26530	-0.11	0.09
At4g38970	-0.18	0.08
At5g03690	-0.19	0.09
At5g04120	-0.34	0.08
At5g08570	0.03	0.07
At5g42740	-0.11	0.07
At5g52920	-0.20	0.07
At5g56350	-0.02	0.07
At5g63680	-0.02	0.07
At1g07110	-0.38	0.07
At1g09780	-0.27	0.10
At1g12000	-0.20	0.10
At1g13440	-0.14	0.08
At1g16300	-0.13	0.08
At1g22170	-0.38	0.05
At1g42970	0.00	0.08
At1g56190	0.17	0.10
At1g58150	-0.69	0.13
At1g74030	-0.18	0.09
At1g78040	-0.27	0.05
At1g78050	-0.44	0.05
At1g79530	-0.14	0.08
At1g79550	0.13	0.10
At2g01140	-0.26	0.08
At2g21170	-0.09	0.10
At2g21330	-0.13	0.08
At2g22480	-0.15	0.09
At2g36460	-0.15	0.09
At2g36580	0.02	0.06
At3g04050	-0.05	0.06
At3g04120	-0.14	0.08
At3g08590	-0.26	0.10
At3g12780	0.15	0.10
At3g22960	-0.11	0.07
At3g25960	0.04	0.07
At3g26650	-0.02	0.09
At3g43290	-0.69	0.09
At3g49160	-0.17	0.07
At3g52930	-0.22	0.09
At3g55440	0.08	0.09
At3g55650	0.03	0.07
At3g55810	0.06	0.07
At4g10750	-0.20	0.09
At4g24620	-0.17	0.08
At4g26390	-0.02	0.07
At4g26520	-0.08	0.08
At4g26530	-0.11	0.09
At4g32840	-0.16	0.09
At4g38970	-0.18	0.08
At5g03690	-0.19	0.09
At5g04120	-0.34	0.08
At5g08570	0.03	0.07
At5g42740	-0.11	0.07
At5g47810	-0.18	0.09
At5g52920	-0.20	0.07
At5g56350	-0.02	0.07
At5g63680	-0.02	0.07
At2g11810	-0.31	0.07
At3g11670	-0.48	0.05
At4g00550	-0.34	0.05
At4g31780	-0.15	0.09
At4g33030	-0.28	0.06
At5g01220	-0.12	0.06
At5g20410	-0.29	0.06
At3g11170	-0.31	0.06
At3g15850	-0.05	0.06
At4g30950	-0.07	0.04
At5g05580	-0.32	0.06
At2g42790	-0.21	0.07
At2g44350	-0.22	0.07
At3g21720	-0.36	0.07
At3g58740	-0.24	0.08
At3g58750	-0.17	0.07
At3g60100	-0.15	0.08
At4g00570	-0.09	0.09
At4g26970	-0.25	0.08
At4g35830	-0.16	0.09
At5g03860	-0.36	0.08
At1g31860	-0.44	0.04
At1g58080	-0.04	0.07
At1g71920	-0.16	0.06
At2g36230	-0.13	0.11
At4g14910	-0.33	0.07
At5g10330	-0.15	0.06
At5g63890	0.00	0.06
At1g33320	-0.06	0.07
At3g01120	0.11	0.07
At3g57050	-0.11	0.06
At1g02460	-0.38	0.09
At1g02790	0.02	0.11
At1g02810	-0.23	0.07
At1g04630	-0.49	0.09
At1g05650	0.06	0.10
At1g05660	0.06	0.10
At1g10640	-0.17	0.09
At1g11370	0.04	0.08
At1g11580	-0.19	0.06
At1g14890	-0.20	0.04
At1g17150	-0.16	0.09
At1g19170	-0.20	0.10
At1g21850	-0.21	0.08
At1g21860	-0.17	0.08
At1g23200	-0.32	0.06
At1g23460	-0.20	0.09
At1g43080	-0.29	0.08
At1g44980	-0.10	0.05
At1g53840	-0.22	0.06
At1g56710	-0.05	0.07
At1g60590	-0.26	0.07
At1g65570	-0.03	0.10
At1g69940	-0.13	0.10
At1g70500	-0.18	0.08
At1g75790	-0.07	0.08
At1g76160	-0.24	0.09
At1g80140	-0.03	0.11
At1g80170	-0.19	0.08
At2g15470	-0.25	0.09
At2g19150	-0.12	0.10
At2g21610	-0.22	0.07
At2g23630	-0.13	0.08
At2g23900	-0.02	0.08
At2g26440	-0.26	0.08
At2g26450	-0.44	0.06
At2g33160	-0.29	0.08
At2g36700	-0.22	0.09
At2g36710	-0.35	0.09
At2g40310	-0.26	0.08
At2g41850	-0.27	0.08
At2g43050	-0.29	0.08
At2g43860	-0.08	0.08
At2g43870	-0.01	0.10
At2g43880	-0.16	0.10
At2g43890	-0.07	0.10
At2g45220	-0.22	0.08
At2g46930	-0.19	0.07
At2g47030	-0.23	0.10
At2g47040	-0.22	0.09
At2g47050	-0.04	0.06
At2g47280	-0.15	0.11
At2g47550	-0.24	0.08
At2g47670	-0.04	0.02
At3g05610	-0.24	0.07
At3g05620	-0.30	0.08
At3g06770	-0.09	0.10
At3g06830	-0.18	0.08
At3g07820	-0.15	0.10
At3g07830	-0.10	0.10
At3g07840	-0.09	0.10
At3g07970	-0.33	0.07
At3g10710	-0.23	0.07
At3g10720	-0.25	0.09
At3g14040	-0.01	0.11
At3g14310	-0.27	0.08
At3g15720	-0.08	0.10
At3g17060	-0.25	0.08
At3g24130	-0.03	0.10
At3g26610	-0.22	0.09
At3g27980	-0.16	0.07
At3g29090	-0.29	0.09
At3g43270	-0.12	0.08
At3g47380	-0.04	0.04
At3g47400	-0.27	0.08
At3g47670	-0.20	0.05
At3g49220	-0.18	0.08
At3g57790	-0.15	0.08
At3g59010	-0.29	0.08
At3g59850	-0.09	0.10
At3g61490	-0.08	0.09
At3g62180	0.04	0.04
At4g00190	-0.33	0.09
At4g02300	-0.27	0.06
At4g02330	-0.29	0.05
At4g03930	-0.23	0.07
At4g12390	-0.03	0.04
At4g13760	-0.36	0.09
At4g15980	-0.57	0.06
At4g18180	-0.16	0.09
At4g22010	-0.22	0.10
At4g23820	-0.17	0.11
At4g25250	-0.36	0.04
At4g25260	-0.22	0.04
At4g28090	-0.36	0.07
At4g33220	-0.38	0.09
At4g33230	-0.43	0.06
At4g33440	-0.09	0.09
At4g35670	-0.11	0.09
At4g37160	-0.14	0.07
At4g38420	-0.35	0.08
At5g04960	-0.23	0.07
At5g04970	-0.31	0.08
At5g07410	-0.11	0.10
At5g07420	-0.17	0.09
At5g07430	-0.24	0.09
At5g09760	-0.32	0.08
At5g14650	-0.15	0.10
At5g17200	-0.18	0.12
At5g18990	-0.10	0.10
At5g19730	-0.18	0.08
At5g20860	-0.28	0.07
At5g26810	-0.09	0.09
At5g27870	-0.27	0.07
At5g39910	-0.36	0.07
At5g41870	-0.16	0.10
At5g44830	-0.27	0.09
At5g44840	-0.13	0.09
At5g47500	-0.21	0.09
At5g48140	-0.12	0.10
At5g49180	-0.21	0.08
At5g51480	-0.23	0.07
At5g51490	-0.12	0.08
At5g51500	-0.09	0.08
At5g53370	-0.21	0.09
At5g55590	-0.29	0.09
At5g64640	-0.25	0.07
At5g66920	-0.21	0.08
At5g23010	-0.19	0.08
At1g14810	-0.13	0.07
At3g02020	0.04	0.06
At5g13280	0.05	0.07
At5g21060	0.09	0.10
At2g31810	-0.07	0.06
At3g23940	-0.10	0.11
At3g48560	-0.13	0.08
At3g58610	-0.07	0.09
At4g11640	0.16	0.08
At5g16290	-0.15	0.06
At1g21400	-0.45	0.06
At2g33150	-0.03	0.09
At3g60510	-0.17	0.08
At4g16210	-0.06	0.08
At4g16800	0.07	0.09
At4g31810	-0.19	0.07
